term,definition          
"**anecdotal evidence**","Evidence, often personal, that is collected casually rather than by a well-designed study"
"**population**","A group we are interested in studying. 'Population' often refers to a group of people, but the term is used for other subjects, too"
"**cross-sectional study**","A study that collects data about a population at a particular point in time"
"**cycle**","In a repeated cross-sectional study, each repetition of the study is called a cycle"
"**longitudinal study**","A study that follows a population over time, collecting data from the same group repeatedly"
"**record**","In a dataset, a collection of information about a single person or other subject"
"**respondent**","A person who responds to a survey"
"**sample**","The subset of a population used to collect data"
"**representative**","A sample is representative if every member of the population has the same chance of being in the sample"
"**oversampling**","The technique of increasing the representation of a sub-population in order to avoid errors due to small sample sizes"
"**raw data**","Values collected and recorded with little or no checking, calculation or interpretation"
"**recode**","A value that is generated by calculation and other logic applied to raw data"
"**data cleaning**","Processes that include validating data, identifying errors, translating between data types and representations, etc."
"**distribution**","The values that appear in a sample and the frequency of each"
"**histogram**","A mapping from values to frequencies, or a graph that shows this mapping"
"**frequency**","The number of times a value appears in a sample"
"**mode**","The most frequent value in a sample, or one of the most frequent values"
"**normal distribution**","An idealization of a bell-shaped distribution; also known as a Gaussian distribution"
"**uniform distribution**","A distribution in which all values have the same frequency"
"**tail**","The part of a distribution at the high and low extremes"
"**central tendency**","A characteristic of a sample or population; intuitively, it is an average or typical value"
"**outlier**","A value far from the central tendency"
"**spread**","A measure of how spread out the values in a distribution are"
"**summary statistic**","A statistic that quantifies some aspect of a distribution, like central tendency or spread"
"**variance**","A summary statistic often used to quantify spread"
"**standard deviation**","The square root of variance, also used as a measure of spread"
"**effect size**","A summary statistic intended to quantify the size of an effect like a difference between groups"
"**clinically significant**","A result, like a difference between groups, that is relevant in practice."
"**Probability mass function (PMF)**","a representation of a distribution as a function that maps from values to probabilities"
"**probability**","A frequency expressed as a fraction of the sample size"
"**normalization**","The process of dividing a frequency by a sample size to get a probability"
"**index**","In a pandas DataFrame, the index is a special column that contains the row labels"
"**percentile rank**","The percentage of values in a distribution that are less than or equal to a given value"
"**percentile**","The value associated with a given percentile rank"
"**cumulative distribution function (CDF)**","A function that maps from values to their cumulative probabilities. $\mathrm{CDF}(x)$ is the fraction of the sample less than or equal to $x$"
"**inverse CDF**","A function that maps from a cumulative probability, $p$, to the corresponding value"
"**median**","The 50th percentile, often used as a measure of central tendency"
"**interquartile range**","The difference between the 75th and 25th percentiles, used as a measure of spread"
"**quantile**","A sequence of values that correspond to equally spaced percentile ranks; for example, the quartiles of a distribution are the 25th, 50th and 75th percentiles"
"**replacement**","A property of a sampling process. 'With replacement' means that the same value can be chosen more than once; 'without replacement' means that once a value is chosen, it is removed from the population."
"**empirical distribution**","The distribution of values in a sample"
"**analytic distribution**","A distribution whose CDF is an analytic function"
"**model**","A useful simplification. Analytic distributions are often good models of more complex empirical distributions"
"**interarrival time**","The elapsed time between two events"
"**complementary CDF**","A function that maps from a value, $x$, to the fraction of values that exceed $x$, which is $1 - \mathrm{CDF}(x)$"
"**standard normal distribution**","The normal distribution with mean 0 and standard deviation 1"
"**normal probability plot**","A plot of the values in a sample versus random values from a standard normal distribution"
"**Probability density function (PDF)**","The derivative of a continuous CDF, a function that maps a value to its probability density"
"**Probability density**","A quantity that can be integrated over a range of values to yield a probability. If the values are in units of cm, for example, probability density is in units of probability per cm"
"**Kernel density estimation (KDE)**","An algorithm that estimates a PDF based on a sample"
"**discretize**","To approximate a continuous function or distribution with a discrete function. The opposite of smoothing"
"**raw moment**","A statistic based on the sum of data raised to a power"
"**central moment**","A statistic based on deviation from the mean, raised to a power"
"**standardized moment**","A ratio of moments that has no units"
"**skewness**","A measure of how asymmetric a distribution is"
"**sample skewness**","A moment-based statistic intended to quantify the skewness of a distribution"
"**Pearson's median skewness coefficient**","A statistic intended to quantify the skewness of a distribution based on the median, mean, and standard deviation"
"**robust**","A statistic is robust if it is relatively immune to the effect of outliers."
"**scatter plot**","A visualization of the relationship between two variables, showing one point for each row of data"
"**jitter**","Random noise added to data for purposes of visualization"
"**saturation**","Loss of information when multiple points are plotted on top of each other"
"**correlation**","A statistic that measures the strength of the relationship between two variables"
"**standardize**","To transform a set of values so that their mean is 0 and their variance is 1"
"**standard score**","A value that has been standardized so that it is expressed in standard deviations from the mean"
"**covariance**","A measure of the tendency of two variables to vary together"
"**rank**","The index where an element appears in a sorted list"
"**randomized controlled trial**","An experimental design in which subjects are divided into groups at random, and different groups are given different treatments"
"**treatment group**","A group in a controlled trial that receives some kind of intervention"
"**control group**","A group in a controlled trial that receives no treatment, or a treatment whose effect is known"
"**natural experiment**","An experimental design that takes advantage of a natural division of subjects into groups in ways that are at least approximately random."
"**estimation**","The process of inferring the parameters of a distribution from a sample"
"**estimator**","A statistic used to estimate a parameter"
"**mean squared error (MSE)**","A measure of estimation error"
"**root mean squared error (RMSE)**","The square root of MSE, a more meaningful representation of typical error magnitude"
"**maximum likelihood estimator (MLE)**","An estimator that computes the point estimate most likely to be correct"
"**bias (of an estimator)**","The tendency of an estimator to be above or below the actual value of the parameter, when averaged over repeated experiments"
"**sampling error**","Error in an estimate due to the limited size of the sample and variation due to chance"
"**sampling bias**","Error in an estimate due to a sampling process that is not representative of the population"
"**measurement error**","Error in an estimate due to inaccuracy collecting or recording data"
"**sampling distribution**","The distribution of a statistic if an experiment is repeated many times"
"**standard error**","The RMSE of an estimate, which quantifies variability due to sampling error (but not other sources of error)"
"**confidence interval**","An interval that represents the expected range of an estimator if an experiment is repeated many times."
"**hypothesis testing**","The process of determining whether an apparent effect is statistically significant"
"**test statistic**","A statistic used to quantify an effect size"
"**null hypothesis**","A model of a system based on the assumption that an apparent effect is due to chance"
"**p-value**","The probability that an effect could occur by chance"
"**statistically significant**","An effect is statistically significant if it is unlikely to occur by chance"
"**permutation test**","A way to compute p-values by generating permutations of an observed dataset"
"**resampling test**","A way to compute p-values by generating samples, with replacement, from an observed dataset"
"**two-sided test**","A test that asks, 'What is the chance of an effect as big as the observed effect, positive or negative?'"
"**one-sided test**","A test that asks, 'What is the chance of an effect as big as the observed effect, and with the same sign?'"
"**chi-squared test**","A test that uses the chi-squared statistic as the test statistic"
"**false positive**","The conclusion that an effect is real when it is not"
"**false negative**","The conclusion that an effect is due to chance when it is not"
"**power**","The probability of a positive test if the null hypothesis is false"
"**linear fit**","a line intended to model the relationship between variables"
"**least squares fit**","A model of a dataset that minimizes the sum of squares of the residuals"
"**residual**","The deviation of an actual value from a model"
"**goodness of fit**","A measure of how well a model fits data"
"**coefficient of determination**","A statistic intended to quantify goodness of fit"
"**sampling weight**","A value associated with an observation in a sample that indicates what part of the population it represents."
"**regression**","One of several related processes for estimating parameters that fit a model to data"
"**dependent variables**","The variables in a regression model we would like to predict. Also known as endogenous variables"
"**explanatory variables**","The variables used to predict or explain the dependent variables. Also known as independent, or exogenous, variables"
"**simple regression**","A regression with only one dependent and one explanatory variable"
"**multiple regression**","A regression with multiple explanatory variables, but only one dependent variable"
"**linear regression**","A regression based on a linear model"
"**ordinary least squares**","A linear regression that estimates parameters by minimizing the squared error of the residuals"
"**spurious relationship**","A relationship between two variables that is caused by a statistical artifact or a factor, not included in the model, that is related to both variables"
"**control variable**","A variable included in a regression to eliminate or 'control for' a spurious relationship"
"**proxy variable**","A variable that contributes information to a regression model indirectly because of a relationship with another factor, so it acts as a proxy for that factor"
"**categorical variable**","A variable that can have one of a discrete set of unordered values"
"**join**","An operation that combines data from two DataFrames using a key to match up rows in the two frames"
"**data mining**","An approach to finding relationships between variables by testing a large number of models"
"**logistic regression**","A form of regression used when the dependent variable is boolean"
"**Poisson regression**","A form of regression used when the dependent variable is a non-negative integer, usually a count"
"**odds**","An alternative way of representing a probability, P, as the ratio of the probability and its complement, P / (1-P).",           "**time series**","A dataset where each value is associated with a timestamp, often a series of measurements and the times they were collected"
"**window**","A sequence of consecutive values in a time series, often used to compute a moving average"
"**moving average**","One of several statistics intended to estimate the underlying trend in a time series by computing averages (of some kind) for a series of overlapping windows"
"**rolling mean**","A moving average based on the mean value in each window"
"**exponentially-weighted moving average (EWMA)**","A moving average based on a weighted mean that gives the highest weight to the most recent values, and exponentially decreasing weights to earlier values"
"**span**","A parameter of EWMA (exponentially-weighted moving average) that determines how quickly the weights decrease"
"**serial correlation**","Correlation between a time series and a shifted or lagged version of itself"
"**lag**","The size of the shift in a serial correlation or autocorrelation"
"**autocorrelation**","A more general term for a serial correlation with any amount of lag"
"**autocorrelation function**","A function that maps from lag to serial correlation"
"**stationary**","A model is stationary if the parameters and the distribution of residuals does not change over time"
"**survival analysis**","A set of methods for describing and predicting lifetimes, or more generally time until an event occurs"
"**survival curve**","A function that maps from a time, $t$, to the probability of surviving past $t$"
"**hazard function**","A function that maps from $t$ to the fraction of people alive until $t$ who die at $t$"
"**Kaplan-Meier estimation**","An algorithm for estimating hazard and survival functions"
"**cohort**","a group of subjects defined by an event, like date of birth, in a particular interval of time"
"**cohort effect**","a difference between cohorts"
"**NBUE**","A property of expected remaining lifetime, 'New better than used in expectation.'"
"**UBNE**","A property of expected remaining lifetime, 'Used better than new in expectation.'"
